model_key,model_id,layer_index,normalized_depth,target_relation,within_mean_auc,within_std_auc,loo_auc,generality_gap
llama_3_1_8b,meta-llama/Llama-3.1-8B,7,0.25,P19,0.8955469023886765,0.022668309727661186,0.9149,-0.019353097611323533
llama_3_1_8b,meta-llama/Llama-3.1-8B,7,0.25,P103,0.9634197167226421,0.006907746310988974,0.96835,-0.004930283277357894
llama_3_1_8b,meta-llama/Llama-3.1-8B,7,0.25,P101,0.951708285539679,0.016645305624731127,0.9209,0.03080828553967896
llama_3_1_8b,meta-llama/Llama-3.1-8B,7,0.25,P159,0.9700517813131843,0.022577529258949035,0.9740000000000001,-0.00394821868681583
llama_3_1_8b,meta-llama/Llama-3.1-8B,7,0.25,P176,0.9976577137634074,0.0026318552518099668,0.9946,0.003057713763407355
llama_3_1_8b,meta-llama/Llama-3.1-8B,7,0.25,P138,0.9938381931933362,0.006512426318092702,0.9460999999999999,0.047738193193336276
llama_3_1_8b,meta-llama/Llama-3.1-8B,15,0.5,P19,0.8898598547072911,0.016801446615511882,0.916,-0.026140145292708916
llama_3_1_8b,meta-llama/Llama-3.1-8B,15,0.5,P103,0.976590641658273,0.018043967384776635,0.97475,0.0018406416582730234
llama_3_1_8b,meta-llama/Llama-3.1-8B,15,0.5,P101,0.9464560144805505,0.026117313271488796,0.9344,0.012056014480550492
llama_3_1_8b,meta-llama/Llama-3.1-8B,15,0.5,P159,0.9882221078351937,0.011548991624503286,0.9792000000000001,0.009022107835193638
llama_3_1_8b,meta-llama/Llama-3.1-8B,15,0.5,P176,0.9985050250857109,0.001392380621491347,0.9934,0.005105025085710979
llama_3_1_8b,meta-llama/Llama-3.1-8B,15,0.5,P138,0.9962514417531718,0.0064926933386376,0.9827999999999999,0.013451441753171922
llama_3_1_8b,meta-llama/Llama-3.1-8B,23,0.75,P19,0.8363558516908628,0.03035691098970964,0.9005000000000001,-0.06414414830913728
llama_3_1_8b,meta-llama/Llama-3.1-8B,23,0.75,P103,0.9639077150873313,0.012684054690592193,0.9414,0.022507715087331293
llama_3_1_8b,meta-llama/Llama-3.1-8B,23,0.75,P101,0.8999121444072687,0.028287228159289714,0.8527,0.04721214440726873
llama_3_1_8b,meta-llama/Llama-3.1-8B,23,0.75,P159,0.9536690168964469,0.021463637753379707,0.9753,-0.021630983103553048
llama_3_1_8b,meta-llama/Llama-3.1-8B,23,0.75,P176,0.998252155612961,0.0022788392178069317,0.984,0.014252155612961004
llama_3_1_8b,meta-llama/Llama-3.1-8B,23,0.75,P138,0.9909014651071901,0.009542947520784849,0.9664,0.02450146510719009
llama_3_1_8b,meta-llama/Llama-3.1-8B,31,1.0,P19,0.8604396168881857,0.03582658308296141,0.8906499999999999,-0.030210383111814232
llama_3_1_8b,meta-llama/Llama-3.1-8B,31,1.0,P103,0.9740664482721734,0.007537447087847342,0.8166499999999999,0.1574164482721735
llama_3_1_8b,meta-llama/Llama-3.1-8B,31,1.0,P101,0.8603861303609652,0.04129030163167838,0.8746,-0.014213869639034815
llama_3_1_8b,meta-llama/Llama-3.1-8B,31,1.0,P159,0.9540860529378931,0.01333910531934829,0.9624,-0.008313947062106974
llama_3_1_8b,meta-llama/Llama-3.1-8B,31,1.0,P176,0.9985405062473323,0.0017924699672771,0.9378500000000001,0.06069050624733219
llama_3_1_8b,meta-llama/Llama-3.1-8B,31,1.0,P138,0.9771405996634056,0.012282072950116886,0.9577,0.01944059966340561
llama_3_1_70b,meta-llama/Llama-3.1-70B,19,0.25,P19,0.9345449355672697,0.018533130425995168,0.9428000000000001,-0.008255064432730386
llama_3_1_70b,meta-llama/Llama-3.1-70B,19,0.25,P103,0.9769277126936768,0.010606938290128152,0.9778,-0.0008722873063231606
llama_3_1_70b,meta-llama/Llama-3.1-70B,19,0.25,P101,0.9547559584520893,0.00419244994970593,0.9577,-0.002944041547910725
llama_3_1_70b,meta-llama/Llama-3.1-70B,19,0.25,P159,0.9673856632805987,0.021916527947160487,0.9687000000000001,-0.0013143367194013988
llama_3_1_70b,meta-llama/Llama-3.1-70B,19,0.25,P176,0.9981989338705287,0.0018375752204767169,0.9964,0.0017989338705287627
llama_3_1_70b,meta-llama/Llama-3.1-70B,19,0.25,P138,0.9981634527089073,0.0018365472910927272,0.9875,0.010663452708907228
llama_3_1_70b,meta-llama/Llama-3.1-70B,39,0.5,P19,0.9487937993757433,0.01736535366475418,0.9588,-0.010006200624256723
llama_3_1_70b,meta-llama/Llama-3.1-70B,39,0.5,P103,0.9806053086172621,0.00866573858508008,0.9776,0.0030053086172621146
llama_3_1_70b,meta-llama/Llama-3.1-70B,39,0.5,P101,0.9478223039877648,0.004163751621872662,0.9481,-0.0002776960122352623
llama_3_1_70b,meta-llama/Llama-3.1-70B,39,0.5,P159,0.9868690575673904,0.009181158754609045,0.9922000000000001,-0.0053309424326096755
llama_3_1_70b,meta-llama/Llama-3.1-70B,39,0.5,P176,0.9990817263544537,0.001590496609337828,0.9985,0.0005817263544536377
llama_3_1_70b,meta-llama/Llama-3.1-70B,39,0.5,P138,0.9987756351392716,0.0014026861631330624,0.9979999999999999,0.000775635139271702
llama_3_1_70b,meta-llama/Llama-3.1-70B,59,0.75,P19,0.9410483147507369,0.006314369029452069,0.9587,-0.017651685249263083
llama_3_1_70b,meta-llama/Llama-3.1-70B,59,0.75,P103,0.978604594757473,0.005102540213092127,0.9702999999999999,0.008304594757473027
llama_3_1_70b,meta-llama/Llama-3.1-70B,59,0.75,P101,0.933267348964109,0.007372723654415499,0.9276,0.005667348964109031
llama_3_1_70b,meta-llama/Llama-3.1-70B,59,0.75,P159,0.9743857787267665,0.0077837106267824386,0.9874,-0.013014221273233595
llama_3_1_70b,meta-llama/Llama-3.1-70B,59,0.75,P176,0.9993878175696357,0.001060331072891864,0.9997,-0.00031218243036434945
llama_3_1_70b,meta-llama/Llama-3.1-70B,59,0.75,P138,0.9937140091276612,0.005994012830883151,0.9955999999999999,-0.0018859908723387608
llama_3_1_70b,meta-llama/Llama-3.1-70B,79,1.0,P19,0.9500181642364719,0.009090841970387453,0.9535,-0.0034818357635281183
llama_3_1_70b,meta-llama/Llama-3.1-70B,79,1.0,P103,0.9736893947337485,0.009312153707787782,0.9118999999999999,0.06178939473374856
llama_3_1_70b,meta-llama/Llama-3.1-70B,79,1.0,P101,0.9092767880122393,0.01181891763609088,0.8701,0.03917678801223934
llama_3_1_70b,meta-llama/Llama-3.1-70B,79,1.0,P159,0.9713426071557559,0.01052998387951711,0.9837,-0.012357392844244086
llama_3_1_70b,meta-llama/Llama-3.1-70B,79,1.0,P176,0.9985050250857109,0.0013923806214913971,0.9828,0.015705025085710922
llama_3_1_70b,meta-llama/Llama-3.1-70B,79,1.0,P138,0.9762977896825019,0.020204239854710086,0.9605000000000001,0.015797789682501784
